상호명,맛(추천),가격(추천),웨이팅(추천),서비스(추천),분위기(추천),카공(추천),위생(추천),전체(추천)
Cafe HE,9.170037,9.127291,8.463053,9.14183,9.116772,9.085416,9.035501,19.3399
Studiowup?: Billy's House,27.489824999999996,30.063625000000002,25.975,27.692774999999997,27.647524999999998,27.81055,26.03325,64.31255
What's ur color?,16.244,15.9028,10.4804,16.1156,16.2758,15.985,15.43,64.4336
and커피바,10.2518,15.0972,13.5622,18.834,17.7566,18.0856,15.1948,90.7822
old friend,4.8328,11.325,6.5852,11.5194,12.502,12.4374,8.1248,49.326600000000006
가빈커피,152.515304,164.427494,148.946178,165.15386,162.702004,164.763164,154.926582,345.134586
감과당,313.53703,327.610622,303.134338,337.024179,333.466312,337.507695,320.52441,718.804586
객기,21.406599999999997,22.705,16.965400000000002,22.531399999999998,23.2454,22.7184,20.3044,77.87660000000001
계절의목소리,285.824996,322.68321,305.163297,327.359639,330.697552,332.960086,309.620042,675.308822
고스트요거트 이대직영점,103.362185,107.45739,98.67198,109.24201500000001,109.53269,109.799105,104.54541,200.210775
고유,93.680933,112.927563,102.124847,115.807783,112.97732400000001,116.339684,104.265304,372.023438
공간커피,251.523977,300.96799200000004,281.898556,312.360023,318.061439,323.13077,287.570742,730.313499
공드린,55.516838,59.497768,53.85225,61.085976,58.808809999999994,60.235748,56.276848,180.27423799999997
공차 신촌연세로점,438.173298,440.619825,438.278979,441.735104,445.741791,443.706723,437.24285599999996,430.49857599999996
공차 이대익스프레스점,54.544599999999996,43.0858,39.6932,41.4654,54.538199999999996,44.821799999999996,39.63,-20.620999999999995
공차 이대점,205.588663,187.483884,184.757753,185.611052,197.643614,185.748352,183.141064,80.47438200000003
공차 현대신촌점,17.205920000000003,16.819401000000003,19.951330000000002,19.176078,19.3866,19.28472,19.927272000000002,8.151321
과일에반하다프루타 신촌점,10.8688,12.3886,9.0,12.256,10.9664,10.8698,10.6324,22.982
그대를위한커피,34.425082,38.018968,28.083266000000002,36.135629,34.98757500000001,34.482614,29.919335,140.052469
그래인바운더리,148.574883,152.064664,146.49155199999998,152.905649,157.29689,153.825179,148.120149,189.878966
그래피카,2024.766005,2104.827506,2032.601836,2109.833841,2109.940364,2117.010209,2047.665163,3123.844924
그로밋커피하우스,113.882316,141.637836,123.383838,146.290017,147.87059,149.74483800000002,125.81795600000001,365.427391
그릭데이 이대본점,2364.550208,2393.087246,2362.618498,2406.015669,2407.052971,2409.779342,2373.765793,2883.8697270000002
금옥당 연희점,1969.652637,2010.535733,1956.845445,2016.465471,2016.396898,2015.685613,1972.398431,2536.980228
까페힐,119.933425,133.7012,108.53005,134.72367500000001,138.900325,137.040525,114.12105,306.15025
꽃피다이화다방,570.51525,622.053803,576.529993,632.743287,638.82278,639.509554,588.206362,1163.3810290000001
나띵벗커피,64.19541,66.45359,60.16493,67.79882,66.73159,67.75126,61.908590000000004,154.40419
