상호명,맛(추천),가격(추천),웨이팅(추천),서비스(추천),분위기(추천),카공(추천),위생(추천),전체(추천)
Cafe HE,9.861368,9.955741,9.747959999999999,9.932023000000001,9.88532,9.896761999999999,9.760179,25.239353
Studiowup?: Billy's House,28.254525,30.850825,26.586525,28.407775,25.586225,28.3333,26.657125,66.27629999999999
What's ur color?,19.9406,19.851599999999998,18.7218,19.721,16.2444,19.193199999999997,18.9164,90.589
and커피바,8.6406,15.1762,11.7942,17.167,14.1992,16.1072,13.3356,78.42
old friend,4.7976,9.888,6.3580000000000005,9.9522,10.6934,10.4582,6.3166,40.464000000000006
가빈커피,160.975018,170.085931,158.236384,169.719742,165.15708,168.296347,158.48174,382.652242
감과당,312.463988,328.878611,310.120451,330.233723,328.60595,328.782697,311.61920399999997,696.704624
객기,23.0872,24.855800000000002,22.014200000000002,24.549999999999997,24.977600000000002,24.5332,22.108800000000002,94.1268
계절의목소리,294.35093,326.375302,310.40656,329.577081,327.570259,332.695395,309.971235,691.946762
고스트요거트 이대직영점,102.210865,106.410785,103.49337,108.60302,108.26492,108.837045,103.560815,198.98082
고유,89.18530700000001,103.654505,89.834929,104.850835,101.97485800000001,104.445064,91.402391,299.247889
공간커피,242.572899,294.65828799999997,272.02943400000004,302.261769,301.762689,308.298826,271.932613,648.316518
공드린,62.397670000000005,66.76347200000001,62.405924,67.817772,59.577782,66.330466,63.551702,223.844788
공차 신촌연세로점,444.20034599999997,445.879869,442.270533,446.052416,451.156171,446.04771999999997,441.188338,461.795393
공차 이대익스프레스점,50.8072,46.0988,50.967,47.5364,49.418,50.6254,47.794399999999996,4.8472
공차 이대점,204.685797,196.647416,192.831671,195.800492,193.390498,195.120428,193.150196,122.126498
공차 현대신촌점,15.686198000000001,15.068448,17.657557,16.856463,17.7084,17.404959,17.619062000000003,-5.59891300000001
과일에반하다프루타 신촌점,12.664,15.8786,12.6284,15.9508,14.4812,14.7056,12.5604,44.869
그대를위한커피,32.560006,36.521156000000005,28.100644,34.535964,30.811483,30.997030000000002,29.887819,127.41410199999999
그래인바운더리,151.479922,155.566075,150.85234499999999,155.4821,155.219028,155.601914,150.99622499999998,205.79760900000002
그래피카,2029.280972,2101.817481,2010.267652,2096.943542,2097.984148,2095.960042,2013.985376,3023.439213
그로밋커피하우스,115.863517,143.483582,126.367046,144.80656100000002,146.042578,146.90743400000002,126.60754,366.878258
그릭데이 이대본점,2358.106112,2388.578671,2366.983837,2398.62035,2396.660805,2398.372449,2367.235823,2841.558047
금옥당 연희점,1965.13864,2004.980819,1944.529525,2009.574805,2011.159725,2005.228785,1942.91461,2462.526909
까페힐,121.62790000000001,136.540225,116.0632,138.44385,138.619925,135.57815,116.14612500000001,322.219375
꽃피다이화다방,573.428668,627.917568,580.729922,634.854399,632.453625,638.382155,582.034983,1164.80132
나띵벗커피,65.15029,66.38519,59.64158,65.85182,66.22895,64.28911,59.7673,146.71424
내사랑,395.097376,403.917913,385.696318,401.952637,396.437384,397.706453,389.667262,631.475343
네,3.0,4.6978,3.0,4.677,4.9606,4.8526,3.0,10.188
노란손수건 본점,4.7297,6.516,5.6491,6.603,6.7485,6.8053,5.6142,24.6658
노아스로스팅 헤리티지점,395.913744,415.10783,395.05278899999996,416.344538,412.991488,415.092768,396.02311199999997,685.626269
논탄토 신촌점,1974.1105610000002,2007.5159640000002,1974.4938510000002,2012.02122,2003.233214,2007.443367,1978.2172970000001,2445.435474
니도로스터리,119.3801,137.855258,117.88483799999999,137.079061,140.536497,138.736305,117.86586799999999,417.33792700000004
니드모어커피,22.24508,22.16646,21.1625,22.09744,20.33032,21.13678,22.02122,33.559799999999996
니어리,4.9232,4.9004,4.647,4.7876,4.8258,4.7292000000000005,4.6748,15.488
님버스커피,42.430724000000005,46.008728,42.430818,45.947614,46.507784,46.270824000000005,42.401762,133.498254
다나제과,13.5,15.1978,13.5,15.177,15.4606,15.352599999999999,13.5,20.688000000000002
다도레,41.1262,46.222,40.5296,46.237,47.1494,46.635200000000005,40.5912,105.0906
다크에디션커피,101.688796,113.1001,106.57045000000001,114.74085099999999,111.794327,113.185147,106.89945499999999,281.979126
단데농,13.656600000000001,15.479,17.3598,15.8666,15.426200000000001,15.9504,17.326,39.064600000000006
달리는커피 서울신촌점,17.698259,18.322162,18.120053,18.236365,18.202371999999997,18.281077999999997,18.107139,40.567428
대현동전통찻집,3.0,4.485575,3.0,4.4673750000000005,4.715525,4.621025,3.0,9.2895
더니커피,561.736429,567.9674699999999,554.174893,568.191107,562.900696,562.222799,556.290432,910.9838259999999
더벤티 신촌점,298.202505,291.876283,291.151475,289.379004,298.331213,292.332672,288.413932,254.487084
더벤티 이화여대포스코관점,2.2148,3.8822,3.2717,3.9570999999999996,4.2090000000000005,4.186,3.2588999999999997,-5.020299999999997
더블랙9,2.817328,2.813566,2.771755,2.794954,2.801257,2.785318,2.776342,4.56052
더블유피,192.97558,208.92482,187.90362,207.55077,208.04857,206.57333,187.70340000000002,408.48009
더파이홀,34527.661874,34604.273177,34492.031258,34606.602501,34546.52588,34581.240442,34513.868913,36438.204045
데스툴,338.91796700000003,359.916399,340.231268,360.205256,360.409765,360.02264,340.320958,595.224253
독수리다방,5074.453727,5149.7604360000005,5066.336615,5146.73132,5159.708461,5152.052578,5065.948998,5753.792135
돌파운드,104.666079,110.61257,99.910309,111.593133,107.697473,107.184838,102.943995,234.608397
드로윙커피하우스 이화여대2호점,86.20060000000001,96.129,85.777275,95.877925,95.337725,96.61255,85.751975,269.68705
디베티,6.7266,6.837,6.8492,6.9238,6.8252,6.921,6.8494,17.932199999999998
디앤케이149,5.7975,6.940375,5.699625,6.84,6.9510000000000005,6.9005,5.720000000000001,23.849
디저트39 신촌역점,28.3192,27.82174,26.83373,26.82962,27.85011,26.79658,26.85876,18.50974
디저트39 이대점,8.3994,10.1226,6.218,10.0436,10.7064,10.241,6.245,43.976
디저트바 이브흐,296.236105,307.04621000000003,282.087336,307.592453,296.581068,298.822301,288.720017,606.48549
디폴트밸류,930.625761,949.148773,933.9417129999999,953.728657,941.984078,951.514695,935.677029,1418.9207059999999
띵크커피 신촌현대점,1.7386,2.08976,2.01948,2.06912,2.08704,2.09168,2.01384,8.10952
라까프,10.506222000000001,10.472884,10.062394999999999,10.293645999999999,9.893893,10.163332,10.117408000000001,29.50978
라떼킹 신촌점,15.6,18.9956,15.6,18.954,19.5212,19.3052,15.6,29.976
라오상하이 신촌점,444.025602,471.798922,432.974861,467.789398,460.556486,459.57710799999995,435.578897,776.501274
라이프커피 이대점,177.87448,178.801583,159.268206,165.797267,165.41934,162.90239,159.354854,256.81812
라플,8.9696,8.8302,7.0,8.6722,8.7712,7.0,7.0,14.243200000000002
라플로르,25.594301,25.608383,24.029654,25.451898,22.879397,24.014668999999998,25.226746,64.805048
랑데자뷰 신촌유플렉스점,33.932500000000005,38.518699999999995,30.234650000000002,38.16975,37.2199,36.80095,30.294075,149.170525
래인,77.083721,91.348709,71.657425,88.089477,88.61292399999999,87.642453,71.853363,360.288072
래핑폭스,114.023529,120.92917299999999,109.690621,120.461619,118.81927,118.328814,112.125897,298.378923
랩트,32.8898,34.3998,31.1946,34.2473,31.129,32.3883,31.354400000000002,80.60319999999999
러브스토리 신촌점,17.883024,24.326934,15.493692,24.11262,23.46126,23.34879,15.542129999999998,126.16845
레몬트리,8.7616,8.7204,8.4152,8.5942,6.8258,8.350200000000001,8.501000000000001,28.1684
로덴드론 연희3호점,4.9232,6.6364,6.3084,6.4946,6.7544,6.6378,6.2768,26.0316
로덴드론 연희점,3181.975405,3259.945446,3182.320649,3260.191002,3256.660502,3256.76983,3184.815178,4291.678012
로우키 연희점,219.385089,239.178536,228.48224299999998,239.653384,230.18076399999998,239.24757499999998,228.507205,456.73479599999996
롯지190,1672.895955,1741.186189,1677.772859,1743.697288,1735.810439,1737.073088,1680.730331,2360.666149
