review,ID,리뷰수(유저),평균별점,별점(유저),별점,리뷰수,상호명,주소,감성점수
이제 손절 먹다 ㅋㅋ 년도 얼그레이 파이 반하다 생일 파이 파이 생일케이크 하다 정도 애정 하고 친구 신촌 에서 만나다 설득 하다 데려가다 인데 음료 진짜 갈수록 맛없다 창렬 하다 친구 데려가다 민망하다 미안하다 쪽팔리다 ㅠㅜㅠ 디저트 하다 상향 평준화 되다 훌륭하다 가게 많아지다 딱하다 경쟁력 없다 사람 많다 하나 가다 되다 ㅎㅎ 근데 후기 보신 거르시거 파이 포장 하다 바라다 이랑 음료 진짜 별로 거들다,무화과딸기쨈,176,3.9,1,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.25
딸기 올리다 파이 맛있다 근데 매장 음악 소리 사람 때문 시끄럽다 점원 뭐라다 들리다,🥹🫶🏻,49,4.2,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
디저트 추천,구름,28,2.9,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
좌석 많다 장점 이다 베베 베가 닫다 들리다 사람 많다 장식 으로 르꼬 르동 블루 졸업장 있다,고양이,124,3.7,1,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
스콘 너무 맛있다 가게 예쁘다 까지 있다 매우 넓다 그치다 피크 시간 에는 마저도 꽉꽉 차서 자리 없다 하지만 방문 의사,흥미쥔쥔,80,4.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.0
사람 너무 많다 디저트 너무 달다,별당의 도시락,28,3.9,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
파이 종류 다양하다 좋다 근데 유명하다 사람 넘다 많다 ㅠㅠ,뾰,12,4.3,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.75
파이 맛있다 커피 괜찮다 주문 하고 메뉴 나오다 항상 오래 걸리다 펴다 하다 ㅠㅠ 담백하다 파이 생각나다 자주 애용 하다 이에요,우와아,15,4.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.67
레몬 머랭 파이 개굿 뜨다 쏘다 쏘다 방문 의사 있다,박재현,1,5.0,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
파이 맛있다 재다 방문,또먹이,142,4.3,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
많이 않다 숙숙 들어가다 하나 시키다 먹다 보다 다른 파이 먹다 보고 싶다,뚜까뚜까,29,4.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
파이 진짜 맛있다 카페 서다 디저트 먹다 스타일 인데 여기다 무조건 먹다 되다 대신 사람 많다,이정석,51,4.6,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
묻다 따다 신촌 티어 카페 케이크 예쁘다 사장 친절하다 살짝 문제 지만 디저트 먹다 것이므 용인 가능 얼그레이 존맛,입만 청와대,73,3.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
파이 맛있다,상상용,91,3.2,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
조금 달다 하지만 맛있다 가끔 생각나다 마다 픽업 하다 가다 근데 매장 사람 너무 많다 대화 하다 조금 시끄럽다 느껴지다,까다로운미식가,113,3.8,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.67
맛있다 사람 많다 많이 달다,☆,5,2.6,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
파이 종류 많다 좋다 한데 진짜 모든 파이 너무 달다 먹다 편이 아니다 너무 달다 먹다 ㅜㅜ,🔻,13,3.4,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.67
파이다 맛있다 가게 넓다 예쁘다 다만 오픈 시간 아니다 먹다 바로 에서 빗자루 하다 먼지 날리다 음악 소리 너무 심하다 커서 사람 들다 큰소리 얘기 하다 밖에 없다 빨리 나오다 아쉽다,쭈,4,3.5,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-0.43
포크 립스틱 자국 묻다 맛있다 느끼다 하다,나무,109,3.6,1,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
애플 크다 럼블 메이플 피칸 루바 라즈베리 얼그레이 가나 북미 스타일 파이 근본 이다 미국 에서 이웃집 아주머니 만들다 파이 느끼다 시즌 별로 메뉴 바뀌다 전부 존맛 이다 바나나 들어가다 파이다 무슨 마약 넣다 알다,강남규,9,3.7,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
사람 많다 시간 자리 없다 정도 홍차 정말 좋다,미네르바의 올빼미,14,3.8,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.0
정말 맛있다 생일 파이 주문 하다 너무 만족하다 ㅎㅎ,swanster,132,3.9,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.67
까지 있다 자리 넓다 매번 사람 많다 하지만 그만큼 맛있다 매번 찾아가다,리뷰조작하면1점줌,112,3.1,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
분위기 너무 좋다 적당하다 수다 떨다 있다 좋다 파이 방문 하고 싶다,심승수,1,5.0,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.0
매장 넓다 야외 테이블 좋다,박여원,54,3.9,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
애플 스콘 맛있다,데이드라스,126,3.4,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
인기 많다 기대하다 기대하다 비다 그냥 그렇다 가격 비싸다 방문 하다 않다 같다,올챙이,62,3.5,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.6
호두 파이 돌이,얄라리얄라,24,3.6,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
근처 통째 옮기다 정도 맛있다,채슐랭,7,3.3,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
의자 불편하다 커피 디저트 맛있다,.,5,4.6,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
약하다 말차 라떼 우유 말차 허니 카모마일 치즈 케익 이다,banana lizard,68,3.1,2,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-1.0
오다 진짜 너무 맛있다 아니다 매장 에서 먹다 포장 하다 에서 먹다 ㅋㅋ 넘다 인데 이제 알다 진짜 대박 파이 케이크 너무 너무 자다 만드심 예술 이에요,맛자랑,120,4.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
진짜 맛있다 분위기 좋다 디저트 맛있다 커피 맛있다 만족하다,엄현정☆,3,4.0,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
포장 하다 먹다 내부 사람 많다 디피 이쁘다 시나몬 강하다 호박 느껴지다 아숩,불꽃휴먼,12,4.0,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.67
디저트 가게 전멸 신촌 에서 기분 좋다 사람 시간 보내다 있다 평일 저녁 가면 알다 사람 하다 만나다 들어가다 가게 전체 에서 진동 하다 고소하다 달달 냄새 여기 주문 케이크 이름 레터 까지 되다 사진 누군가 페이스북 올리다 그렇게 부르다 없다,seonmi,46,5.0,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.5
파이 맛있다,ㅤ,453,2.5,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
대학생 부터 유명하다 신촌 핫플 인데 졸업 하고 오랜 오다 보다 그런데 파이 보다는 그냥 고체 크림 먹다 하다 꾸다 하다 한개 이상 먹기 힘들다 하다 정도 먹다 만해,말티즈,"1,091",3.7,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-2.0
진짜 너무 맛있다 휘둥그레지다 가다 쇼콜라 얼그레이 타르트 들다,오몽,77,3.1,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
펌킨파이 맛있다 근데 사람 많다 정신 없다 무조건 포장 해감 늦다 품절,서울바게트,38,4.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.5
메뉴 다양하다 좋다 하지만 그냥 보통,aa,21,2.3,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.5
나쁘다 않다,rem,21,3.5,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-2.0
말차 가나 파이 생크림 과일 파이 초콜릿케이크 얼그레이 파이 맛있다 바노 피다 조금 달다,나무,11,4.5,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
밀크 맛있다 요다음 말차 파이 도전,옷옷,682,4.3,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
그냥 무난 되게 시끄럽다,애옹애옹,94,3.5,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-2.0
진짜 파이 존맛 얼그레이 너무 좋다,김성후,114,4.6,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
코코넛 크림파이 팔다 자다 없다 같다 여기 있다 정말 파이 자다 만들다 맛있다 좋다,이청아,41,4.3,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.0
무난 하다 맛있다 말차 오레오 파이 맛있다,마지,118,3.7,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
라벤더 라떼 하다 모금 말다 작년 영국 여행 가다 디저트 카페 떠오르다 완전 좋다 파이 맛있다 쿠키 진짜 미치다 공간 협소하 지만 맛있다 카페 가다 추천 최근 가다 카페 제일,냐허,13,4.1,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
레몬 머랭 파이다 시원 상큼 하다 물리다 잇다 자다 먹다 사람 많다 매장 예쁘다 음식 좋다 감안 하고 갈다 하다 카야 스콘 카야 잼맛 자다 느껴지다 조금 실망하다 애플 스콘 얼그레이 초코 스콘 감탄 하다 먹다,후기,9,4.7,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.2
맛있다 정신 없다 레몬 머랭 맛있다 말차 마르고 진하다 방문 의사,페테르부르크,244,3.7,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.0
먹다 트이다,나는아직도배고프다,138,4.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
애플 크다 럼블 보다는 고소 과일 파이 상큼 하다 맛있다,냉철한입맛,489,3.7,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.5
우연히 들어가다 맛있다 기분 좋다,구이구,113,4.9,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
이제 워낙 맛있다 파이 많아지다 독보 이라고 하다 없다 자리 넓다 신촌역 가깝다 가볍다 방문 하다 좋다 다만 사람 항상 많다 편이 자리 잡기 어리다 많다,제이,1,4.0,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.4
사람 너무 많다 내부 너무 정신 없다 좁다 포장 하다 먹다 있다,깨깨깨깨깨버리고싶어,326,3.9,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.5
신촌 성수 감성,qpc_set,184,3.4,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
파이 알다 포장 지다 돼다 먹다 인지 진짜 평범하다 다기 보다 오히려 무스 너무 진하다 먹기 힘들다,5점 잘 안 준다,186,4.0,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-1.5
파이 맛있다 먹다,Dioni,60,4.1,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
파이 아주 진국 맛집 강의 가나 맛보다 있다 ㅋㅋ 사람 많다 시끄럽다 빼다 만족,SSun.,"1,676",3.9,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.0
오래오래 번창 하다,솔직한 사람,35,4.8,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
들다 절대로 말차 파이 먹다 말다 먹다,녹차전문가,15,4.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
맛있다 파이 먹다 있다 단골 처럼 다니다,아니브,134,4.3,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
파이다 맛있다 음료 진짜 너무 아쉽다 바닐라 라떼 마시다,왠만해선 맛으로만 논합니다,765,3.8,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.5
레몬 파이 채다,손혜린,50,4.5,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
있다 크다 러스트 너무 얇다 그냥 크림 뜨다 먹다 으로 먹다 느낌,유유,28,3.7,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.0
죽다 싶다 여기 파이 먹다 다시 살다,말랑야로,40,4.3,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-1.0
파이 가다 얇다 필링 많다 좋다 요거트 베이스 여서 맛있다,눈칫밥 먹으면서 적는 리뷰,145,4.0,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
그랜드 부다페스트 호텔 메다 들이다 신촌 에도 있다 무슈 스타,hulkson,42,4.4,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
인생 디저트 다시 가다 바뀌다 슬픔,.,35,4.4,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-2.0
이상 파이 만들다 스콘 처럼 부스러지다 딱딱하다 않다 꾸다 부드러움 필링 하다 않다 고급스럽다 매우 합리 가격 서울 갈다 마다 여기 방문,미식가,57,3.3,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
추억 보정 많이 되다 이제 디저트 하다 카페 너무 많아지다 특별하다 메뉴 다루다 곳도 차다 많다 얼그레이 파이다 초코 너무 달다 말차 파이 에서는 김맛 가게 이전 하다 넓다 쾌적하다 환경 되다 맞다 과거 파이 영광 추억 하다 경쟁 상대 차다 많다 주다 디저트 카페,미뢰 전문가,57,3.5,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.8
사람 없다 가세,김미래,35,3.2,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-1.0
맛있다 진짜 맛있다 평범하다 평범하다 연한 ㅋㅋ 근데 맛있다 때문 갈다,kaaisn,23,2.8,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
맛보다 팔다 맞다 신지 궁금하다 정도 애매하다 이다,뿡뽄봉,26,4.7,1,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
펌킨 파이 단호박 태국 라임 아이스 녹즙맛 건강하다 다른 대표 메뉴 먹다 오다,정히를따르라,908,3.5,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
말차 파이 너무 맛있다 그리고 커피 괜찮다 장소 맛집 만큼 사람 붐비다 시끄럽다,른자,5,5.0,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.75
머랭 레몬 파이 차다 맛있다 먹다 연어 먹다 서다 약간 느끼하다 잡다 뭔가 필요하다 적당하다 맛있다 면서 기분 좋다 차갑다 순식간 해치다 버리다 얼그레이 파이 달다 지만 얼그레이 초코 무스 조화 훌륭하다 다만 아이스크림 라떼 끄다 시키다 보다 먹기 불편하다 그냥 그렇다 한편 크다 단점 있다 테이블 간격 좁다 올라가다 쟁반 들다 이나 도리 없다 ㅜㅠ 아니다 쟁반 손님 모두 불편 해보다 투자 하다 자동 설치 하다,긴축,354,4.4,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
정신 없다 있다 분위기 좋다 쿰쿰하다 냄새 나요,민수,41,2.6,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.5
에서 가깝다 무난 귀엽다 가게 디저트 괜찮다 에서 보이다 비다 까지 올라가다 자리 넓다 손님 많다 조금 시끄럽다,killbill,30,3.9,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.75
사람 많다 조금 정신 없다 하지만 파이 맛있다 커피 그냥,밤,71,4.1,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.0
무난 하다 맛있다 웨이 없다 갈다 하다,추근이,55,3.6,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.5
신촌 에서만 넘다 있다 디저트 카페 있다 찌다 파이 존맛 부분 이렇게 맛있다 쿠키 정성스럽다 맛있다 사람 많다 단점,푸다뱅,911,4.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.75
이전 하다 자주 가다 기억,cercle,645,3.6,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
디저트 카페,천지원,1,5.0,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
인테리어 귀엽다 케이크 맛있다 너무 달다 ㅜㅜ,ㅈ,17,4.2,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
예전 에는 특출나다 맛있다 디저트 이다 요즘 워낙 맛있다 많다 자다 가지다 그래도 무난 하다 맛있다 나름 오랜 맛집,김뚤레,73,3.2,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
괜찮다 많이 시끄럽다 스콘 쫀득아닌 바스라지다 타입 이고 부분 부분 숨다 포토 스팟 있다,뚣,10,4.4,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-0.5
바나나 치즈케이크 밀크 미치다 조합 너무 케이크 싫어하다 불다 무조건 좋아하다 치즈케이크 끝맛 비려 바나나 케이크 너무 달다 싫어하다 중간 완벽하다 지점 자다 맞춤 진짜 행복하다 먹다,젤라또광인,55,4.5,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.4
