상호명,맛(추천),가격(추천),웨이팅(추천),서비스(추천),분위기(추천),카공(추천),위생(추천),전체(추천)
Cafe HE,10.445858999999999,10.558973000000002,10.370028,10.577887,10.473488,10.480822,10.373744,29.480801
Studiowup?: Billy's House,29.289025,32.07995,27.767874999999997,29.5777,27.68845,29.427274999999998,27.838524999999997,75.2688
What's ur color?,19.759999999999998,19.7824,18.8628,19.8216,16.3706,19.1564,19.000799999999998,90.7546
and커피바,8.6328,16.9576,16.989,20.866,19.373,19.9344,16.830399999999997,101.5832
old friend,4.7864,9.928,6.3738,9.9084,10.6738,10.4316,6.319599999999999,40.421600000000005
가빈커피,159.002198,168.88923,155.478463,168.600836,166.443476,165.59817999999999,156.753899,372.466282
감과당,316.121165,336.398447,322.551972,342.961263,341.063395,339.415148,322.42756099999997,766.938951
갓신내림 나비선녀 꽃별신당 신점사주,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
객기,23.0018,24.755000000000003,22.0038,24.5362,25.1304,24.4786,22.0312,93.937
계절의목소리,294.141606,331.761474,321.660723,340.253449,338.628098,344.68423,320.454092,752.583672
고스트요거트 이대직영점,102.10165500000001,107.34472000000001,104.1089,109.166295,109.16363000000001,109.435225,104.08101500000001,203.00144
고유,98.260571,120.060559,108.286603,123.981819,120.407028,121.646018,108.015213,414.557811
공간커피,250.914919,292.941612,278.392801,307.847119,310.559126,313.30107200000003,277.097626,685.854275
공드린,65.981082,70.640554,66.26197400000001,71.78165000000001,63.975386,68.834456,66.470912,248.946014
공차 신촌연세로점,440.011933,445.299271,442.171561,446.62028,448.000638,446.729671,442.000918,455.834272
공차 이대익스프레스점,52.7618,46.1844,45.6154,47.1612,51.403,48.907399999999996,45.5634,-0.803400000000015
공차 이대점,201.667177,185.317883,180.540108,182.957739,195.660109,184.035158,180.775511,61.45368499999999
공차 현대신촌점,15.393045,13.721704,16.040278,15.366975000000002,17.644878000000002,16.004505,16.011326,-13.417289000000004
과일에반하다프루타 신촌점,12.7064,14.2662,12.419,15.883400000000002,14.5312,14.610400000000002,13.963,44.3796
그대를위한커피,36.778112,40.827962,32.126633999999996,38.869777,37.425923,33.379947,32.280179000000004,155.688534
그래인바운더리,151.298292,155.296984,151.401129,156.01059999999998,159.747967,154.552094,151.395553,210.302619
그래피카,2036.148393,2118.392723,2035.9007569999999,2121.413688,2120.840633,2118.31461,2035.36927,3163.580074
그로밋커피하우스,119.16822,147.625927,131.362871,152.81213100000002,153.485993,151.361023,130.841473,403.45763800000003
그릭데이 이대본점,2368.534834,2393.960541,2372.522798,2406.971843,2409.764935,2403.248656,2371.989019,2893.992626
그림라이브하우스,4.8906,6.4914000000000005,3.0,6.4208,6.857200000000001,6.5502,3.0,19.2102
금옥당 연희점,1977.590756,2019.70152,1957.571058,2026.951776,2018.548102,2018.463043,1966.528243,2564.354498
까페힐,121.54805,137.3388,118.8438,141.03125,140.605075,138.2389,118.76745,335.573325
꽃피다이화다방,575.931885,631.688152,593.922884,646.1115130000001,648.6562779999999,650.551512,592.999027,1234.861251
나띵벗커피,64.50643,65.79563,60.80721,67.06527,66.03507,65.29321,60.8767,149.77952
내사랑,398.997684,410.282512,396.646587,411.380435,406.183816,404.765375,396.856973,686.113382
