연령대,행정구역,인구 수,1인가구 수,성별
총합,서대문구,"305,909","66,715",M+F
0~69세,서대문구,"266,990","56,239",M+F
0~4세,서대문구,"7,227",2,M+F
5~9세,서대문구,"10,027",4,M+F
10~14세,서대문구,"10,589",24,M+F
15~19세,서대문구,"11,619",580,M+F
20~24세,서대문구,"21,572","7,604",M+F
25~29세,서대문구,"26,837","11,140",M+F
30~34세,서대문구,"23,921","8,255",M+F
35~39세,서대문구,"20,637","4,853",M+F
40~44세,서대문구,"22,906","3,991",M+F
45~49세,서대문구,"21,152","3,344",M+F
50~54세,서대문구,"25,943","4,150",M+F
55~59세,서대문구,"23,087","3,799",M+F
60~64세,서대문구,"22,413","4,344",M+F
65~69세,서대문구,"19,060","4,149",M+F
총합,서대문구,"145,181","30,230",M
0~69세,서대문구,"129,274","27,416",M
0~4세,서대문구,"3,729",0,M
5~9세,서대문구,"5,079",2,M
10~14세,서대문구,"5,358",11,M
15~19세,서대문구,"5,653",162,M
20~24세,서대문구,"9,510","2,655",M
25~29세,서대문구,"12,954","5,349",M
30~34세,서대문구,"11,861","4,399",M
35~39세,서대문구,"10,109","2,666",M
40~44세,서대문구,"11,398","2,173",M
45~49세,서대문구,"10,379","1,792",M
50~54세,서대문구,"12,548","2,289",M
55~59세,서대문구,"11,149","2,089",M
60~64세,서대문구,"10,663","2,117",M
65~69세,서대문구,"8,884","1,712",M
총합,서대문구,"160,728","36,485",F
0~69세,서대문구,"137,716","28,823",F
0~4세,서대문구,"3,498",2,F
5~9세,서대문구,"4,948",2,F
10~14세,서대문구,"5,231",13,F
15~19세,서대문구,"5,966",418,F
20~24세,서대문구,"12,062","4,949",F
25~29세,서대문구,"13,883","5,791",F
30~34세,서대문구,"12,060","3,856",F
35~39세,서대문구,"10,528","2,187",F
40~44세,서대문구,"11,508","1,818",F
45~49세,서대문구,"10,773","1,552",F
50~54세,서대문구,"13,395","1,861",F
55~59세,서대문구,"11,938","1,710",F
60~64세,서대문구,"11,750","2,227",F
65~69세,서대문구,"10,176","2,437",F
총합,충정로2가,"1,135",511,M+F
0~69세,충정로2가,"1,010",479,M+F
0~4세,충정로2가,17,0,M+F
5~9세,충정로2가,17,0,M+F
10~14세,충정로2가,18,0,M+F
15~19세,충정로2가,35,4,M+F
20~24세,충정로2가,63,30,M+F
25~29세,충정로2가,165,121,M+F
30~34세,충정로2가,170,118,M+F
35~39세,충정로2가,95,54,M+F
40~44세,충정로2가,73,34,M+F
45~49세,충정로2가,73,27,M+F
50~54세,충정로2가,85,29,M+F
55~59세,충정로2가,62,16,M+F
60~64세,충정로2가,74,24,M+F
65~69세,충정로2가,63,22,M+F
총합,충정로2가,554,246,M
0~69세,충정로2가,495,235,M
0~4세,충정로2가,7,0,M
5~9세,충정로2가,8,0,M
10~14세,충정로2가,8,0,M
15~19세,충정로2가,16,1,M
20~24세,충정로2가,29,12,M
25~29세,충정로2가,59,40,M
30~34세,충정로2가,83,55,M
35~39세,충정로2가,53,27,M
40~44세,충정로2가,43,19,M
45~49세,충정로2가,40,21,M
50~54세,충정로2가,51,22,M
55~59세,충정로2가,35,12,M
60~64세,충정로2가,37,15,M
65~69세,충정로2가,26,11,M
